rep,frame,t,right_angle,right_elbow_dx_norm,right_dy_norm,left_angle,left_elbow_dx_norm,left_dy_norm,shoulder_width
3,14,0.6929,10.1,0.0852,-0.4137,16.2,0.3391,0.3882,0.2218
3,15,0.7396,15.9,0.0571,-0.4268,15.5,0.3713,0.3939,0.2196
3,16,0.7868,2.5,0.3981,0.1144,13.9,0.447,0.2246,0.2078
3,17,0.8319,2.7,0.5038,0.251,8.0,0.5024,0.0847,0.2007
3,18,0.8787,3.1,0.5098,0.3094,2.8,0.4134,0.0285,0.1991
3,19,0.9238,5.8,0.4303,0.3998,1.6,0.3934,0.1228,0.2087
3,20,0.9694,7.0,0.4046,0.4064,3.1,0.3847,0.1573,0.2126
3,21,1.017,8.2,0.3744,0.4247,3.9,0.378,0.168,0.2172
3,22,1.0603,8.8,0.3473,0.4447,7.4,0.3608,0.2785,0.222
3,23,1.1069,9.5,0.3231,0.4752,11.6,0.3297,0.3878,0.2263
3,24,1.1539,10.3,0.2964,0.4642,16.7,0.2867,0.4648,0.2284
3,25,1.2007,11.0,0.2744,0.4645,18.6,0.2663,0.4666,0.2307
3,26,1.2465,11.1,0.2659,0.4433,18.4,0.2606,0.4639,0.2317
3,27,1.2934,11.1,0.2612,0.4312,18.3,0.2599,0.4672,0.2321
3,28,1.3394,11.1,0.2583,0.4239,18.8,0.2619,0.4828,0.2321
3,29,1.386,11.0,0.2588,0.4103,19.1,0.27,0.4836,0.2314
3,30,1.4328,10.7,0.2609,0.3887,19.5,0.2751,0.4786,0.2306
3,31,1.4775,10.4,0.2618,0.3741,19.5,0.2784,0.4753,0.2303
3,32,1.5238,8.0,0.2755,0.2729,19.3,0.278,0.4699,0.2284
3,33,1.5699,7.3,0.2845,0.2383,19.2,0.2787,0.4671,0.2272
3,34,1.6177,7.1,0.2918,0.2282,19.5,0.2825,0.4668,0.2269
4,0,0.0458,9.6,0.301,0.2278,15.7,0.2487,0.3613,0.2272
4,1,0.0924,9.6,0.3039,0.2355,15.6,0.247,0.3544,0.2272
4,2,0.1376,9.5,0.3066,0.2387,15.4,0.2458,0.3418,0.2286
4,3,0.183,10.3,0.3044,0.2329,15.0,0.244,0.3336,0.2304
4,4,0.2293,10.7,0.3055,0.2325,14.7,0.2431,0.3258,0.2328
4,5,0.2765,11.1,0.3092,0.2301,14.3,0.2437,0.3161,0.2345
4,6,0.3241,11.3,0.313,0.2363,13.8,0.2402,0.3133,0.235
4,7,0.3699,12.5,0.3072,0.2344,12.9,0.2406,0.3163,0.2361
4,8,0.4154,12.9,0.305,0.2254,12.4,0.2415,0.3186,0.2366
4,9,0.4629,12.7,0.3034,0.1657,12.4,0.249,0.3219,0.2374
4,10,0.5078,13.5,0.2983,0.0966,12.8,0.2737,0.3454,0.2372
